epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,4308.24,0.65298,0.61315,1.068,0.86628,0.53507,0.61006,0.44361,1.10231,1.04255,1.43413,0.000222813,0.000222813,0.000222813
67,4365.94,0.65382,0.59678,1.06197,0.84663,0.54982,0.61565,0.43125,1.12495,1.17844,1.42752,0.000216625,0.000216625,0.000216625
68,4424.1,0.62751,0.59658,1.05691,0.79343,0.55815,0.61013,0.43898,1.14422,1.11915,1.47627,0.000210437,0.000210437,0.000210437
69,4481.63,0.6204,0.57319,1.04646,0.82637,0.52931,0.59876,0.42846,1.13433,1.13464,1.45372,0.00020425,0.00020425,0.00020425
70,4541.11,0.6299,0.58942,1.05252,0.82977,0.52999,0.60028,0.44046,1.11283,1.10208,1.45151,0.000198063,0.000198063,0.000198063
71,4599.86,0.61953,0.56968,1.04465,0.83302,0.5363,0.59918,0.43193,1.14766,1.147,1.47415,0.000191875,0.000191875,0.000191875
72,4658.37,0.61542,0.56832,1.04363,0.80904,0.54944,0.59971,0.42969,1.13175,1.1475,1.45738,0.000185688,0.000185688,0.000185688
73,4716.88,0.61269,0.55929,1.03857,0.81124,0.53555,0.59654,0.4389,1.12285,1.13874,1.44275,0.0001795,0.0001795,0.0001795
74,4775.02,0.61336,0.57037,1.05581,0.847,0.53203,0.60187,0.4456,1.10312,1.13474,1.434,0.000173313,0.000173313,0.000173313
75,4832.68,0.60639,0.56161,1.03966,0.79979,0.53928,0.6005,0.4448,1.11364,1.15136,1.43992,0.000167125,0.000167125,0.000167125
76,4891.57,0.59147,0.54098,1.03093,0.70076,0.56987,0.61004,0.45175,1.08433,1.10203,1.41182,0.000160938,0.000160938,0.000160938
77,4949.35,0.59558,0.55287,1.03407,0.83498,0.52999,0.60002,0.44491,1.07524,1.07101,1.40666,0.00015475,0.00015475,0.00015475
78,5007.1,0.60249,0.54108,1.03539,0.83471,0.54702,0.60956,0.44921,1.10808,1.11597,1.4394,0.000148563,0.000148563,0.000148563
79,5065.12,0.58856,0.53864,1.03781,0.85934,0.54753,0.61613,0.45132,1.10312,1.10461,1.44881,0.000142375,0.000142375,0.000142375
80,5123.19,0.58797,0.52587,1.02923,0.80689,0.56783,0.61511,0.44841,1.07897,1.05612,1.42241,0.000136187,0.000136187,0.000136187
81,5182.02,0.57249,0.52581,1.02699,0.86066,0.54362,0.62132,0.46383,1.08043,1.03224,1.426,0.00013,0.00013,0.00013
82,5239.67,0.57462,0.51405,1.02557,0.84789,0.5437,0.6244,0.46367,1.09466,1.09251,1.42579,0.000123812,0.000123812,0.000123812
83,5298.45,0.5784,0.52047,1.02339,0.8095,0.58523,0.62765,0.45934,1.07866,1.09125,1.42217,0.000117625,0.000117625,0.000117625
84,5356.29,0.57368,0.5148,1.02184,0.89306,0.52138,0.62434,0.45964,1.09116,1.10812,1.41996,0.000111438,0.000111438,0.000111438
85,5414.01,0.56641,0.50364,1.02113,0.77797,0.5447,0.61273,0.45437,1.12376,1.12883,1.44644,0.00010525,0.00010525,0.00010525
86,5472.07,0.56391,0.5013,1.01836,0.83743,0.55717,0.61359,0.46015,1.08961,1.08669,1.41107,9.90625e-05,9.90625e-05,9.90625e-05
87,5529.74,0.55575,0.49136,1.01065,0.8423,0.53998,0.61067,0.4584,1.10473,1.08886,1.42938,9.2875e-05,9.2875e-05,9.2875e-05
88,5587.89,0.55575,0.49875,1.0134,0.86196,0.55582,0.62014,0.45632,1.08437,1.06815,1.41146,8.66875e-05,8.66875e-05,8.66875e-05
89,5645.11,0.55499,0.49935,1.01393,0.85717,0.54297,0.62215,0.46357,1.07603,1.05814,1.41248,8.05e-05,8.05e-05,8.05e-05
90,5702.93,0.54722,0.48296,1.00572,0.89277,0.51299,0.62044,0.46392,1.08944,1.04624,1.42209,7.43125e-05,7.43125e-05,7.43125e-05
91,5762.14,0.50905,0.38886,0.98771,0.72527,0.58759,0.62948,0.46158,1.07843,1.06654,1.4121,6.8125e-05,6.8125e-05,6.8125e-05
92,5818.29,0.48037,0.35961,0.96509,0.84933,0.54207,0.62544,0.4711,1.07011,1.07957,1.41584,6.19375e-05,6.19375e-05,6.19375e-05
93,5875.36,0.4786,0.35782,0.96556,0.85336,0.55241,0.62582,0.46986,1.06646,1.07337,1.40662,5.575e-05,5.575e-05,5.575e-05
94,5931.67,0.471,0.34426,0.96062,0.82882,0.578,0.62916,0.47399,1.05392,1.05765,1.3971,4.95625e-05,4.95625e-05,4.95625e-05
95,5987.92,0.46895,0.34487,0.95554,0.87829,0.54753,0.62219,0.46769,1.05315,1.04665,1.3995,4.3375e-05,4.3375e-05,4.3375e-05
96,6043.92,0.45432,0.33746,0.95797,0.86047,0.54574,0.62463,0.46713,1.05182,1.05966,1.39953,3.71875e-05,3.71875e-05,3.71875e-05
97,6101.05,0.46545,0.3435,0.95556,0.86165,0.54393,0.62586,0.46936,1.05942,1.06984,1.41038,3.1e-05,3.1e-05,3.1e-05
98,6157.19,0.44835,0.33141,0.94587,0.84371,0.56114,0.62664,0.47288,1.07283,1.04183,1.42634,2.48125e-05,2.48125e-05,2.48125e-05
99,6214,0.45655,0.32878,0.95372,0.80759,0.5871,0.62582,0.47272,1.06376,1.03241,1.41628,1.8625e-05,1.8625e-05,1.8625e-05
100,6270.98,0.44617,0.3207,0.94568,0.8918,0.52614,0.62604,0.47433,1.05299,1.02521,1.40623,1.24375e-05,1.24375e-05,1.24375e-05
